ARL,SDRL,MRL,L,Phi,k,Delta,Parameter_string
198.0008,158.76661928554125,161.0,9.83094,0.1,,0.0,"phi=0.1,k=-0.05"
198.5967,169.6957738103987,150.0,12.10594,0.25,,0.0,"phi=0.25,k=-0.125"
66.69343333333333,47.011965677674965,57.0,9.83094,0.1,,0.25,"phi=0.1,k=-0.05"
81.27426666666666,61.151637572476794,66.0,12.10594,0.25,,0.25,"phi=0.25,k=-0.125"
27.437733333333334,16.67518884037666,24.0,9.83094,0.1,,0.5,"phi=0.1,k=-0.05"
32.73146666666667,20.255640116164077,28.0,12.10594,0.25,,0.5,"phi=0.25,k=-0.125"
15.601666666666667,8.419394112536972,14.0,9.83094,0.1,,0.75,"phi=0.1,k=-0.05"
18.16583333333333,9.769073615525455,16.0,12.10594,0.25,,0.75,"phi=0.25,k=-0.125"
10.458066666666667,5.1501173056758836,10.0,9.83094,0.1,,1.0,"phi=0.1,k=-0.05"
11.951566666666666,5.6631752764877605,11.0,12.10594,0.25,,1.0,"phi=0.25,k=-0.125"
7.7336,3.58064673487905,7.0,9.83094,0.1,,1.25,"phi=0.1,k=-0.05"
8.708966666666667,3.8172066050392868,8.0,12.10594,0.25,,1.25,"phi=0.25,k=-0.125"
6.092633333333334,2.8013185702847547,6.0,9.83094,0.1,,1.5,"phi=0.1,k=-0.05"
6.774066666666666,2.8104485043415326,7.0,12.10594,0.25,,1.5,"phi=0.25,k=-0.125"
5.004566666666666,2.3082921129893608,5.0,9.83094,0.1,,1.75,"phi=0.1,k=-0.05"
5.5334666666666665,2.2754369504680976,5.0,12.10594,0.25,,1.75,"phi=0.25,k=-0.125"
4.1562,2.052770865602556,4.0,9.83094,0.1,,2.0,"phi=0.1,k=-0.05"
4.603533333333333,1.9422017185543718,5.0,12.10594,0.25,,2.0,"phi=0.25,k=-0.125"
3.516366666666667,1.87618375047743,4.0,9.83094,0.1,,2.25,"phi=0.1,k=-0.05"
3.9103666666666665,1.7508091078761907,4.0,12.10594,0.25,,2.25,"phi=0.25,k=-0.125"
2.9711666666666665,1.7249353530559406,4.0,9.83094,0.1,,2.5,"phi=0.1,k=-0.05"
3.336133333333333,1.6058894883798478,4.0,12.10594,0.25,,2.5,"phi=0.25,k=-0.125"
2.539633333333333,1.581063734395999,3.0,9.83094,0.1,,2.75,"phi=0.1,k=-0.05"
2.8807,1.5043052139332187,3.0,12.10594,0.25,,2.75,"phi=0.25,k=-0.125"
2.1684666666666668,1.4333244511352699,1.0,9.83094,0.1,,3.0,"phi=0.1,k=-0.05"
2.477866666666667,1.393572190052919,3.0,12.10594,0.25,,3.0,"phi=0.25,k=-0.125"
